Review Text,O,C,E,A,N
"The product was amazing, better than I expected!",0.85,0.9,0.95,0.9,0.1
"Customer service was useless, no help at all.",0.3,0.3,0.2,0.2,0.9
"Average quality, nothing impressive.",0.4,0.5,0.4,0.5,0.4
"Very creative packaging, I loved the effort.",0.95,0.8,0.8,0.9,0.1
"They delivered on time, super professional.",0.6,0.95,0.8,0.9,0.2
Late delivery and poor packaging.,0.3,0.4,0.3,0.3,0.8
"The color was vibrant and unique, I liked it.",0.9,0.7,0.7,0.8,0.2
I'm not satisfied. I expected more.,0.4,0.4,0.3,0.4,0.6
"Very polite staff, quick resolution.",0.7,0.9,0.9,0.95,0.1
"No response to my complaint, disappointed.",0.2,0.3,0.2,0.2,0.9
Fantastic design and usability!,0.9,0.85,0.85,0.9,0.2
"Does the job, but not worth the price.",0.5,0.5,0.4,0.5,0.5
Super friendly and understanding staff!,0.8,0.9,0.95,0.95,0.1
"Not the best experience, sadly.",0.3,0.4,0.3,0.3,0.7
I’m amazed by the speed and accuracy.,0.85,0.9,0.9,0.95,0.1
Received a damaged item. Not happy.,0.2,0.3,0.2,0.2,0.85
Top-notch materials used. Feels premium.,0.75,0.95,0.85,0.9,0.2
Had to return it. Didn’t meet my needs.,0.4,0.5,0.3,0.5,0.6
They listened carefully and acted fast.,0.8,0.9,0.95,0.95,0.1
"The site was confusing, had to call support.",0.3,0.4,0.3,0.3,0.75
"Innovative features, really surprised me.",0.95,0.85,0.9,0.9,0.1
Package was open when I got it. Terrible.,0.2,0.3,0.2,0.2,0.9
I'm impressed by the simplicity of use.,0.8,0.8,0.9,0.95,0.2
Still waiting for a refund. Frustrated.,0.2,0.3,0.2,0.2,0.85
Fast replies and clear communication.,0.7,0.9,0.9,0.95,0.1
Misleading description on the website.,0.2,0.3,0.3,0.2,0.8
Love how they handle everything smoothly.,0.85,0.9,0.95,0.95,0.1
"The quality is just okay, not special.",0.5,0.5,0.4,0.5,0.4
"Efficient, helpful, and proactive staff.",0.8,0.95,0.95,0.95,0.2
Shipping took forever. Not ordering again.,0.2,0.2,0.2,0.2,0.85
Product looks even better in real life!,0.9,0.9,0.9,0.9,0.1
"Terrible smell, had to throw it away.",0.1,0.2,0.1,0.1,0.95
Design is modern and creative.,0.9,0.9,0.85,0.85,0.1
"No instructions inside, confusing.",0.3,0.3,0.2,0.3,0.9
Well-packed and arrived on time.,0.7,0.95,0.9,0.95,0.1
Felt ignored during support chat.,0.2,0.2,0.2,0.2,0.9
"Elegant and simple, really nice.",0.85,0.95,0.95,0.95,0.1
Bad experience overall. Not worth it.,0.2,0.3,0.3,0.3,0.8
Very impressed with the professionalism.,0.9,0.9,0.95,0.95,0.1
"Nothing to complain about, satisfied.",0.6,0.9,0.7,0.8,0.2
Shocking quality. So bad.,0.1,0.2,0.1,0.1,0.95
Practical and intuitive interface.,0.85,0.9,0.9,0.95,0.1
Zero stars if I could. Awful service.,0.5,0.4,0.4,0.4,0.5
I love how smooth everything went.,0.9,0.95,0.95,0.95,0.1
"It’s not bad, just not for me.",0.1,0.2,0.1,0.1,0.95
Gorgeous look and sturdy material.,0.85,0.9,0.9,0.95,0.1
Worst customer support I’ve seen.,0.3,0.3,0.3,0.3,0.7
They handled my issue kindly.,0.9,0.9,0.95,0.95,0.1
Totally underwhelmed by the result.,0.1,0.2,0.1,0.1,0.95
Great effort in the design and packaging.,0.8,0.9,0.9,0.95,0.1
Terrible from start to finish.,0.1,0.2,0.1,0.1,0.9
Friendly delivery guy and nice box.,0.85,0.95,0.9,0.95,0.1
Broken on arrival. Very upset.,0.2,0.3,0.2,0.3,0.85
I can see the care in this product.,0.9,0.95,0.95,0.95,0.1
Feels cheap and flimsy.,0.2,0.3,0.3,0.2,0.8
Appreciate the eco-friendly packaging.,0.85,0.95,0.9,0.95,0.1
Too complicated to use.,0.2,0.3,0.3,0.3,0.8
Loved the creativity of the features.,0.9,0.95,0.95,0.95,0.1
